"(Fe, Co)3N [txt]",,,
Fe8Co2N2.4,-8.06584,P 1 m 1,"M(TM)=1.83223 μB/atom
MAE = 1.31 MJ/m3"
Fe8Co2N2.7,-8.06509,A m m 2,"M(TM)=1.83768 μB/atom
MAE = 1.42 MJ/m3"
-----------------,------------------,------------------------------,----------------------------------
"(Fe, Co)6N [txt]",,,
Fe2Co10N2.1,-7.37294,P 4 m m,"M(TM)=1.46446 μB/atom
MAE = -0.15 MJ/m3"
Fe2Co10N2.3,-7.36611,P 4/m 2/m 2/m,"M(TM)=1.44994 μB/atom
MAE = 0.33 MJ/m3"
Fe2Co10N2.4,-7.36389,P 4 m m,"M(TM)=1.44686 μB/atom
MAE = -0.61 MJ/m3"
--,--,--,--
Fe4Co8N2.1,-7.57664,P 4/m 2/m 2/m,"M(TM)=1.54049 μB/atom
MAE = -0.45 MJ/m3"
Fe4Co8N2.2,-7.57227,P m m 2,"M(TM)=1.53926 μB/atom
MAE = 0.81 MJ/m3"
--,--,--,--
Fe6Co6N2.1,-7.75241,P 2/m 2/m 2/m,"M(TM)=1.57732 μB/atom
MAE = 0.58 MJ/m3"
Fe6Co6N2.3,-7.75065,P m m 2,"M(TM)=1.58234 μB/atom
MAE = 0.76 MJ/m3"
Fe6Co6N2.14,-7.74481,P 4/m 2/m 2/m,"M(TM)=1.71769 μB/atom
MAE = 1.54 MJ/m3"
--,--,--,--
Fe8Co4N2.1,-7.92399,P 4 m m,"M(TM)=1.83061 μB/atom
MAE = 1.81 MJ/m3"
Fe8Co4N2.2,-7.92234,P 4/m 2/m 2/m,"M(TM)=1.88924 μB/atom
MAE = 2.10 MJ/m3"
--,--,--,--
Fe10Co2N2.1,-8.09796,P 4/m 2/m 2/m,"M(TM)=2.00246 μB/atom
MAE = 0.88 MJ/m3"
Fe10Co2N2.2,-8.09264,P 4/m 2/m 2/m,"M(TM)=1.98885 μB/atom
MAE = 2.04 MJ/m3"
Fe10Co2N2.10,-8.08798,P 4 m m,"M(TM)=1.91023 μB/atom
MAE = 1.96 MJ/m3"
-----------------,------------------,------------------------------,----------------------------------
"(Fe, Co)7N [txt]",,,
Fe2Co12N2.1,-7.32508,A m m 2,"M(TM)=1.47764 μB/atom
MAE = -0.30 MJ/m3"
Fe2Co12N2.2,-7.32469,C 2/m 2/m 2/m,"M(TM)=1.45682 μB/atom
MAE = -1.13 MJ/m3"
--,--,--,--
Fe4Co10N2.1,-7.50081,C 2/m 2/m 2/m,"M(TM)=1.5763 μB/atom
MAE ~ 0 MJ/m3"
Fe4Co10N2.9,-7.49141,A m m 2,"M(TM)=1.56204 μB/atom
MAE = 1.06 MJ/m3"
--,--,--,--
Fe6Co8N2.1,-7.65329,A m m 2,"M(TM)=1.58929 μB/atom
Triaxial anisotropy"
Fe6Co8N2.4,-7.65219,A m m 2,"M(TM)=1.63734 μB/atom
MAE = 1.46 MJ/m3"
Fe6Co8N2.6,-7.65212,A m m 2,"M(TM)=1.60556 μB/atom
MAE = 1.55 MJ/m3"
Fe6Co8N2.10,-7.65159,A m m 2,"M(TM)=1.67101 μB/atom
MAE = 2.11 MJ/m3"
--,--,--,--
Fe8Co6N2.1,-7.81238,A m m 2,"M(TM)=1.8163 μB/atom
MAE = 1.42 MJ/m3"
Fe8Co6N2.3,-7.81121,P 1 m 1,"M(TM)=1.78204 μB/atom
MAE = 1.42 MJ/m3"
Fe8Co6N2.5,-7.81056,A m m 2,"M(TM)=1.80908 μB/atom
MAE = 1.41 MJ/m3"
Fe8Co6N2.10,-7.80861,A m m 2,"M(TM)=1.80602 μB/atom
MAE = 1.80 MJ/m3"
--,--,--,--
Fe10Co4N2.1,-7.9691,A m m 2,"M(TM)=1.93671 μB/atom
MAE = -0.71 MJ/m3"
Fe10Co4N2.2,-7.96774,P 1 m 1,"M(TM)=1.95198 μB/atom
MAE = 1.17 MJ/m3"
Fe10Co4N2.6,-7.96555,A m m 2,"M(TM)=1.92304 μB/atom
MAE = 1.43 MJ/m3"
--,--,--,--
Fe12Co2N2.1,-8.12076,A m m 2,"M(TM)=2.04543 μB/atom
MAE ~ 0 MJ/m3"
Fe12Co2N2.6,-8.11541,A m m 2,"M(TM)=1.986 μB/atom
MAE = 0.92 MJ/m3"
Fe12Co2N2.8,-8.11407,A m m 2,"M(TM)=1.99391 μB/atom
MAE = 1.23 MJ/m3"
-----------------,------------------,------------------------------,----------------------------------
"(Fe, Co)8N [txt]",,,
Fe2Co14N2.1,-7.30164,P 4/n 21/m 2/m (origin choice 2),"M(TM)=1.34539 μB/atom
MAE = -0.1 MJ/m3"
Fe2Co14N2.2,-7.30037,F -4 3 m,"M(TM)=1.34164 μB/atom
MAE ~ 0 MJ/m3"
Fe2Co14N2.4,-7.29311,C 2/m 2/m 2/m,"M(TM)=1.37694 μB/atom
MAE = -0.4 MJ/m3"
--,--,--,--
Fe4Co12N2.1,-7.47033,F 4/m -3 2/m,"M(TM)=1.41038 μB/atom
MAE ~ 0 MJ/m3"
Fe4Co12N2.4,-7.45078,P 4/m 2/m 2/m,"M(TM)=1.49883 μB/atom
MAE = 1.04 MJ/m3"
--,--,--,--
Fe6Co10N2.1,-7.5925,I 4 m m,"M(TM)=1.39069 μB/atom
MAE ~ 0 MJ/m3"
Fe6Co10N2.5,-7.58933,P 2/m 2/m 2/m,"M(TM)=1.57258 μB/atom
MAE = 0.82 MJ/m3"
--,--,--,--
Fe8Co8N2.1,-7.72733,P 4/m 2/m 2/m,"M(TM)=1.86521 μB/atom
MAE = 1.65 MJ/m3"
Fe8Co8N2.2,-7.72244,P 4/m 2/m 2/m,"M(TM)=1.87292 μB/atom
MAE = 1.12 MJ/m3"
Fe8Co8N2.3,-7.72217,P 4/m 2/m 2/m,"M(TM)=1.65429 μB/atom
MAE = 1.13 MJ/m3"
--,--,--,--
Fe10Co6N2.1,-7.86078,I -4 m 2,"M(TM)=1.92279 μB/atom
MAE = -0.29 MJ/m3"
Fe10Co6N2.2,-7.86061,P 4 m m,"M(TM)=1.95124 μB/atom
MAE = 1.63 MJ/m3"
Fe10Co6N2.6,-7.85725,P 4/n 21/m 2/m (origin choice 2),"M(TM)=1.88739 μB/atom
MAE = 2.34 MJ/m3"
Fe10Co6N2.10,-7.85549,P 4/m 2/m 2/m,"M(TM)=1.88216 μB/atom
MAE = 2.23 MJ/m3"
--,--,--,--
Fe12Co4N2.1,-7.99799,I 4/m 2/m 2/m,"M(TM)=1.9752 μB/atom
MAE = 1.25 MJ/m3"
Fe12Co4N2.2,-7.99733,P 4/m 2/m 2/m,"M(TM)=2.05642 μB/atom
MAE ~ 0 MJ/m3"
Fe12Co4N2.10,-7.99189,P 2/m 2/m 2/m,"M(TM)=1.96714 μB/atom
MAE = 1.93 MJ/m3"
Fe12Co4N2.12,-7.99158,P m m 2,"M(TM)=1.96887 μB/atom
MAE = 2.15 MJ/m3"
Fe12Co4N2.15,-7.99123,I 4/m 2/m 2/m,"M(TM)=1.95832 μB/atom
MAE = 3.17 MJ/m3"
--,--,--,--
Fe14Co2N2.1,-8.13411,P 4/n 21/m 2/m (origin choice 2),"M(TM)=2.04074 μB/atom
MAE = 1.41 MJ/m3"
Fe14Co2N2.3,-8.13233,I -4 m 2,"M(TM)=2.07693 μB/atom
MAE = 1.66 MJ/m3"
Fe14Co2N2.8,-8.13022,I 4 m m,"M(TM)=2.05312 μB/atom
MAE = 1.76 MJ/m3"
